turns,balance,speed,y
2,14956,3,3
3,14956,3,6
4,14956,3,9
5,14956,3,12
6,14856,6,18
7,14856,6,24
8,14856,6,30
9,14673,9,39
10,14673,9,48
11,14673,9,57
12,14338,12,69
13,14338,12,81
14,14338,1,82
15,13727,4,86
16,13727,4,90
17,13727,4,94
18,12611,7,101
19,12611,7,108
20,12611,7,115
21,12611,7,122
22,10123,10,132
23,7083,13,145
24,7083,13,158
25,7083,13,171
26,4043,16,187
27,4043,16,203
28,4043,16,219
29,2376,19,238
30,2376,19,257
31,2376,19,276
32,709,22,298
33,709,22,320
34,709,22,342
35,709,22,364
36,709,22,386
37,709,22,408
38,709,1,409
39,374,4,413
40,374,4,417
41,374,4,421
42,39,7,428
43,39,7,435
44,39,7,442
45,39,7,449
46,39,7,456
47,39,7,463
48,39,7,470
49,39,7,477
50,39,7,484
51,39,7,491
52,39,7,498
53,39,7,505
54,24,10,515
55,24,10,525
56,24,10,535
57,24,10,545
58,24,10,555
59,24,10,565
60,24,10,575
61,19,13,588
62,12,16,604
63,12,16,620
64,12,16,636
65,9,19,655
66,9,19,674
67,9,19,693
68,6,22,715
69,6,22,737
70,6,22,759
71,6,25,784
72,6,25,809
73,6,25,834
74,6,25,859
75,5,28,887
76,5,28,915
77,5,31,946
78,5,1,947
79,5,1,948
80,5,1,949
81,4,4,953
82,4,4,957
83,4,4,961
84,3,7,968
85,3,1,969
86,3,1,970
87,3,1,971
88,3,4,975
89,3,4,979
90,2,7,986
91,2,7,993
92,2,1,994
93,1,4,998
93,1,4,1002
