turns,acceleratesBought,shellsBought
2,3,0
2,3,0
2,3,0
3,6,0
3,6,0
3,6,0
4,9,1
4,9,1
4,9,1
5,12,1
5,12,1
5,12,1
6,15,1
6,15,1
6,15,1
7,18,2
7,18,2
7,18,2
8,21,2
8,21,2
8,21,2
9,24,2
9,24,2
9,24,2
10,27,3
10,27,3
10,27,3
11,30,3
11,30,3
11,30,3
12,33,3
12,33,3
12,33,3
13,36,3
13,36,3
13,36,3
14,39,4
14,39,4
14,39,4
15,42,4
15,42,4
15,42,4
16,45,4
16,45,4
16,45,4
17,48,4
17,48,4
17,48,4
18,51,4
18,51,4
18,51,4
19,54,4
19,54,4
19,54,4
20,57,4
20,57,4
20,57,4
21,60,5
21,60,5
21,60,5
22,63,5
22,63,5
22,63,5
23,66,5
23,66,5
23,66,5
24,69,5
24,69,5
24,69,5
25,69,5
25,69,5
25,69,5
26,72,5
26,72,5
26,72,5
27,72,6
27,72,6
27,72,6
28,72,6
28,72,6
28,72,6
29,75,6
29,75,6
29,75,6
30,78,6
30,78,6
30,78,6
31,78,6
31,78,6
31,78,6
32,81,6
32,81,6
32,81,6
33,81,6
33,81,6
33,81,6
34,81,6
34,81,6
34,81,6
35,81,6
35,81,6
35,81,6
36,84,6
36,84,6
36,84,6
37,84,6
37,84,6
37,84,6
38,84,7
38,84,7
38,84,7
39,87,7
39,87,7
39,87,7
40,90,7
40,90,7
40,90,7
41,90,7
41,90,7
41,90,7
42,93,7
42,93,7
42,93,7
43,93,7
43,93,7
43,93,7
44,93,7
44,93,7
44,93,7
45,93,7
45,93,7
45,93,7
46,96,8
46,96,8
46,96,8
47,96,8
47,96,8
47,96,8
48,99,9
48,99,9
48,99,9
49,99,9
49,99,9
49,99,9
50,99,9
50,99,9
50,99,9
51,99,9
51,99,9
51,99,9
52,99,9
52,99,9
52,99,9
53,99,9
53,99,9
53,99,9
54,102,9
54,102,9
54,102,9
55,105,9
55,105,9
55,105,9
56,105,9
56,105,9
56,105,9
57,105,9
57,105,9
57,105,9
58,105,9
58,105,9
58,105,9
59,105,9
59,105,9
59,105,9
60,108,9
60,108,9
60,108,9
61,111,9
61,111,9
61,111,9
62,114,9
62,114,9
62,114,9
63,114,10
63,114,10
63,114,10
64,114,10
64,114,10
64,114,10
65,117,10
65,117,10
65,117,10
66,120,10
66,120,10
66,120,10
67,120,10
67,120,10
67,120,10
68,123,10
68,123,10
68,123,10
69,123,11
69,123,11
69,123,11
70,123,11
70,123,11
70,123,11
71,126,11
71,126,11
71,126,11
72,129,11
72,129,11
72,129,11
73,129,11
73,129,11
73,129,11
74,132,11
74,132,11
74,132,11
75,135,11
75,135,11
75,135,11
76,135,11
76,135,11
76,135,11
77,138,11
77,138,11
77,138,11
78,138,12
78,138,12
78,138,12
79,141,12
79,141,12
79,141,12
80,144,12
80,144,12
80,144,12
81,147,12
81,147,12
81,147,12
82,147,12
82,147,12
82,147,12
83,150,12
83,150,12
83,150,12
84,153,12
84,153,12
84,153,12
85,153,13
85,153,13
85,153,13
86,156,13
86,156,13
86,156,13
87,156,13
87,156,13
87,156,13
88,159,13
88,159,13
88,159,13
89,162,13
89,162,13
89,162,13
90,165,13
90,165,13
90,165,13
91,165,14
91,165,14
91,165,14
92,168,15
92,168,15
92,168,15
93,171,15
93,171,15
93,171,15
93,171,15
93,171,15
93,171,15
